0-84-|9 2.565712
0-96-|79 4.083314
13-55-|95 4.401868
44-48-|45 1.547010
46-95-|27 2.581179
55-76-|38 3.421780
82-94-|18 2.161790
89-94-|55 0.903179
33-|20 7.677340
23-|62 2.743101
97-|55 1.128973
0-|77 5.934615
67-92-|85 4.141453
0-83-|37 1.196979
18-84-|86 2.274137
0-34-|29 4.865781
52-|42 1.743304
2-17-|45 1.547010
60-98-|1 7.576678
67-92-|96 0.994219
26-42-|62 1.502925
19-92-|21 0.862036
0-58-|74 5.062884
8-32-|98 3.462347
8-79-|74 1.479174
2-80-|4 5.447171
0-10-|5 2.972434
60-94-|48 0.524152
55-95-|51 0.427911
6-17-|12 1.614091
61-82-|80 0.306243
43-|2 8.296199
11-31-|60 1.473075
|74 5.979427
0-1-|50 3.414864
55-84-|49 0.993123
1-21-|74 4.080014
25-45-|43 1.897568
1-20-|73 1.357193
0-62-|5 2.120244
27-29-|30 0.705672
0-58-|63 2.860619
4-89-|74 3.300111
35-|51 1.074899
69-80-|2 6.382329
19-55-|94 3.222478
94-|74 4.384576
25-93-|80 3.524644
63-|15 5.496384
0-|39 0.808899
0-84-|56 1.904093
57-65-|93 0.554199
35-93-|30 6.133335
0-18-|79 2.817661
45-76-|95 4.596666
15-75-|92 1.174213
8-|43 2.277081
56-95-|29 0.152226
63-90-|29 2.819469
0-80-|34 3.196983
84-86-|10 1.898455
42-|76 4.581684
0-14-|96 1.006434
11-64-|81 1.962380
65-|42 1.743304
6-73-|21 0.857368
22-|78 1.112195
18-96-|24 1.427593
0-81-|62 1.706374
0-88-|81 3.726679
21-41-|32 2.252989
62-|12 1.614091
3-43-|34 3.238603
0-22-|3 3.373803
|25 1.814634
13-37-|48 0.524152
28-40-|98 0.671298
46-74-|54 2.441358
7-|28 6.027116
42-|36 2.899370
0-71-|26 2.548648
9-43-|71 6.052318
0-15-|45 1.183681
20-83-|29 2.564338
0-31-|72 5.021060
38-50-|89 1.328296
83-|11 1.549476
16-74-|35 1.314341
0-87-|53 6.300011
0-|38 7.433365
89-|33 1.802856
0-63-|14 0.894434
32-|80 3.524644
16-61-|91 0.647250
96-|44 4.366186
41-|43 1.892867
0-60-|17 2.778228
86-|70 1.500148
33-73-|39 0.067902
0-64-|32 1.311185
5-|61 1.802906
28-|47 0.338756
66-|77 4.747692
|61 2.898795
20-51-|20 0.000000
56-59-|38 4.119114
74-94-|1 6.206418
0-85-|89 3.003904
52-|56 4.841660
59-|90 0.452091
3-66-|99 3.477025
60-|10 3.431330
0-78-|20 6.141951
|93 0.723754
93-|30 6.182797
0-62-|49 0.811442
80-|18 2.469700
